"","month","station","ktx_alight","sm_alight","mg_alight","nr_alight","ktx_sc_alight","ktx_hn_alight","itx_sm_alight","itx_youth_alight","total"
"125",201704,"행신",28994,0,0,0,16208,2888,0,0,48090
"126",201704,"능곡",0,36,0,0,0,0,0,0,36
"127",201704,"문산",0,125,0,0,0,0,0,0,125
"128",201704,"운천",0,0,0,0,0,0,0,0,0
"129",201704,"임진강",0,68,0,0,0,0,0,0,68
"130",201704,"도라산",0,1439,0,0,0,0,0,0,1439
"131",201704,"의정부",0,671,0,0,0,0,0,0,671
"132",201704,"덕정",0,0,0,0,0,0,0,0,0
"133",201704,"동두천중앙",0,0,0,0,0,0,0,0,0
"134",201704,"동두천",0,3,0,0,0,0,0,0,3
"135",201704,"소요산",0,0,0,0,0,0,0,0,0
"136",201704,"초성리",0,0,0,0,0,0,0,0,0
"137",201704,"한탄강",0,5,0,0,0,0,0,0,5
"138",201704,"전곡",0,0,0,0,0,0,0,0,0
"139",201704,"연천",0,11,0,0,0,0,0,0,11
"140",201704,"신망리",0,0,0,0,0,0,0,0,0
"141",201704,"대광리",0,0,0,0,0,0,0,0,0
"142",201704,"신탄리",0,609,0,0,0,0,0,0,609
"143",201704,"퇴계원",0,0,0,0,0,0,0,898,898
"144",201704,"평내호평",0,0,0,0,0,0,0,30831,30831
"145",201704,"마석",0,0,0,0,0,0,0,1618,1618
"146",201704,"가평",0,0,389,0,0,0,0,42597,42986
"147",201704,"광명",232005,0,0,0,79392,14453,0,0,325850
"148",201705,"안양",0,0,10611,3320,0,0,0,0,13931
"149",201705,"수원",45091,20480,314850,16436,0,7004,87244,0,491105
"150",201705,"오산",0,0,4847,3471,0,0,0,0,8318
"151",201705,"서정리",0,0,962,1106,0,0,0,0,2068
"152",201705,"평택",0,3351,153528,7887,0,0,18949,0,183715
"153",201705,"덕소",0,0,1888,0,0,0,0,0,1888
"154",201705,"양평",0,0,30887,0,0,0,1307,0,32194
"155",201705,"용문",0,0,8885,0,0,0,0,0,8885
"156",201705,"지평",0,0,1094,0,0,0,0,0,1094
"157",201705,"석불",0,0,73,0,0,0,0,0,73
"158",201705,"일신",0,0,550,0,0,0,0,0,550
"159",201705,"매곡",0,0,587,0,0,0,0,0,587
"160",201705,"양동",0,0,7214,0,0,0,0,0,7214
"161",201705,"삼산",0,0,162,0,0,0,0,0,162
"162",201705,"행신",33711,0,0,0,18029,3223,0,0,54963
"163",201705,"능곡",0,748,0,0,0,0,0,0,748
"164",201705,"문산",0,139,0,0,0,0,0,0,139
"165",201705,"운천",0,0,0,0,0,0,0,0,0
"166",201705,"임진강",0,87,0,0,0,0,0,0,87
"167",201705,"도라산",0,1947,0,0,0,0,0,0,1947
"168",201705,"의정부",0,340,0,0,0,0,0,0,340
"169",201705,"동두천",0,19,0,0,0,0,0,0,19
"170",201705,"소요산",0,0,0,0,0,0,0,0,0
"171",201705,"초성리",0,0,0,0,0,0,0,0,0
"172",201705,"한탄강",0,14,0,0,0,0,0,0,14
"173",201705,"전곡",0,0,0,0,0,0,0,0,0
"174",201705,"연천",0,53,0,0,0,0,0,0,53
"175",201705,"신망리",0,0,0,0,0,0,0,0,0
"176",201705,"대광리",0,0,0,0,0,0,0,0,0
"177",201705,"신탄리",0,161,0,0,0,0,0,0,161
"178",201705,"퇴계원",0,0,0,0,0,0,0,866,866
"179",201705,"평내호평",0,0,0,0,0,0,0,32552,32552
"180",201705,"마석",0,333,0,0,0,0,0,1635,1968
"181",201705,"가평",0,0,0,0,0,0,0,50364,50364
"182",201705,"광명",246310,0,0,0,76718,18585,0,0,341613
"183",201706,"안양",0,0,10026,3112,0,0,0,0,13138
"184",201706,"의왕",0,400,510,0,0,0,0,0,910
"185",201706,"수원",39505,18950,286343,13080,0,6759,75722,0,440359
"186",201706,"오산",0,0,5155,2930,0,0,0,0,8085
"187",201706,"서정리",0,0,967,1169,0,0,0,0,2136
"188",201706,"평택",0,3046,141419,6836,0,0,17048,0,168349
"189",201706,"도농",0,0,0,0,0,0,0,0,0
"190",201706,"덕소",0,0,1744,0,0,0,0,0,1744
"191",201706,"양수",0,0,0,0,0,0,0,0,0
"192",201706,"양평",0,0,28438,0,0,0,1023,0,29461
"193",201706,"용문",0,0,8359,0,0,0,0,0,8359
"194",201706,"지평",0,0,1389,0,0,0,0,0,1389
"195",201706,"석불",0,0,49,0,0,0,0,0,49
"196",201706,"일신",0,0,456,0,0,0,0,0,456
"197",201706,"매곡",0,0,516,0,0,0,0,0,516
"198",201706,"양동",0,0,6568,0,0,0,0,0,6568
"199",201706,"삼산",0,0,147,0,0,0,0,0,147
"200",201706,"행신",29239,0,0,0,15393,3422,0,0,48054
"201",201706,"문산",0,142,0,0,0,0,0,0,142
"202",201706,"운천",0,0,0,0,0,0,0,0,0
"203",201706,"임진강",0,198,0,0,0,0,0,0,198
"204",201706,"도라산",0,1628,0,0,0,0,0,0,1628
"205",201706,"의정부",0,41,0,0,0,0,0,0,41
"206",201706,"덕정",0,0,0,0,0,0,0,0,0
"207",201706,"동두천중앙",0,0,0,0,0,0,0,0,0
"208",201706,"동두천",0,60,0,0,0,0,0,0,60
"209",201706,"소요산",0,0,0,0,0,0,0,0,0
"210",201706,"초성리",0,0,0,0,0,0,0,0,0
"211",201706,"한탄강",0,3,0,0,0,0,0,0,3
"212",201706,"전곡",0,0,0,0,0,0,0,0,0
"213",201706,"연천",0,18,0,0,0,0,0,0,18
"214",201706,"신망리",0,0,0,0,0,0,0,0,0
"215",201706,"대광리",0,0,0,0,0,0,0,0,0
"216",201706,"신탄리",0,469,0,0,0,0,0,0,469
"217",201706,"퇴계원",0,0,0,0,0,0,0,816,816
"218",201706,"평내호평",0,0,0,0,0,0,0,30168,30168
"219",201706,"마석",0,329,0,0,0,0,0,1708,2037
"220",201706,"가평",0,778,804,0,0,0,0,46134,47716
"221",201706,"광명",224382,0,0,0,73129,18114,0,0,315625
"222",201707,"안양",0,0,10362,2821,0,0,0,0,13183
"223",201707,"수원",41504,18806,276657,12414,655,6214,73808,0,430058
"224",201707,"오산",0,0,4792,2901,0,0,0,0,7693
"225",201707,"서정리",0,0,929,1128,0,0,0,0,2057
"226",201707,"평택",0,3330,140142,6444,0,0,16515,0,166431
"227",201707,"덕소",0,303,1566,0,0,0,0,0,1869
"228",201707,"양평",0,0,27784,0,0,0,973,0,28757
"229",201707,"용문",0,0,8284,0,0,0,0,0,8284
"230",201707,"지평",0,0,951,0,0,0,0,0,951
"231",201707,"석불",0,0,62,0,0,0,0,0,62
"232",201707,"일신",0,0,653,0,0,0,0,0,653
"233",201707,"매곡",0,0,416,0,0,0,0,0,416
"234",201707,"양동",0,0,6048,0,0,0,0,0,6048
"235",201707,"삼산",0,0,123,0,0,0,0,0,123
"236",201707,"행신",29588,0,0,0,15761,4396,0,0,49745
"237",201707,"문산",0,69,0,0,0,0,0,0,69
"238",201707,"운천",0,0,0,0,0,0,0,0,0
"239",201707,"임진강",0,203,0,0,0,0,0,0,203
"240",201707,"도라산",0,1647,0,0,0,0,0,0,1647
"241",201707,"의정부",0,32,429,0,0,0,0,0,461
"242",201707,"동두천",0,28,0,0,0,0,0,0,28
"243",201707,"소요산",0,11,0,0,0,0,0,0,11
"244",201707,"초성리",0,0,0,0,0,0,0,0,0
"245",201707,"한탄강",0,0,0,0,0,0,0,0,0
"246",201707,"전곡",0,0,0,0,0,0,0,0,0
"247",201707,"연천",0,49,0,0,0,0,0,0,49
"248",201707,"신망리",0,0,0,0,0,0,0,0,0
"249",201707,"대광리",0,0,0,0,0,0,0,0,0
"250",201707,"신탄리",0,206,0,0,0,0,0,0,206
"251",201707,"퇴계원",0,0,0,0,0,0,0,868,868
"252",201707,"평내호평",0,0,0,0,0,0,0,30379,30379
"253",201707,"마석",0,0,0,0,0,0,0,1694,1694
"254",201707,"가평",0,0,0,0,0,0,0,51213,51213
"255",201707,"광명",219921,0,0,0,72525,19138,0,0,311584
"256",201708,"안양",0,0,10545,3116,0,0,0,0,13661
"257",201708,"수원",48808,19496,289386,13661,0,7540,80909,0,459800
"258",201708,"오산",0,0,4794,2967,0,0,0,0,7761
"259",201708,"서정리",0,0,973,903,0,0,0,0,1876
"260",201708,"평택",0,3186,143964,6674,0,0,17002,0,170826
"261",201708,"도농",0,0,0,0,0,0,0,0,0
"262",201708,"덕소",0,0,2039,0,0,0,0,0,2039
"263",201708,"양평",0,0,29814,0,0,0,1049,0,30863
"264",201708,"용문",0,0,9684,0,0,0,0,0,9684
"265",201708,"지평",0,0,1068,0,0,0,0,0,1068
"266",201708,"석불",0,0,74,0,0,0,0,0,74
"267",201708,"일신",0,0,776,0,0,0,0,0,776
"268",201708,"매곡",0,0,463,0,0,0,0,0,463
"269",201708,"양동",0,0,6636,0,0,0,0,0,6636
"270",201708,"삼산",0,0,151,0,0,0,0,0,151
"271",201708,"행신",33866,0,0,0,17573,5190,0,0,56629
"272",201708,"문산",0,62,0,0,0,0,0,0,62
"273",201708,"운천",0,0,0,0,0,0,0,0,0
"274",201708,"임진강",0,40,0,0,0,0,0,0,40
"275",201708,"도라산",0,1335,0,0,0,0,0,0,1335
"276",201708,"의정부",0,326,0,0,0,0,0,0,326
"277",201708,"덕정",0,0,0,0,0,0,0,0,0
"278",201708,"동두천",0,312,0,0,0,0,0,0,312
"279",201708,"소요산",0,14,0,0,0,0,0,0,14
"280",201708,"초성리",0,0,0,0,0,0,0,0,0
"281",201708,"한탄강",0,0,0,0,0,0,0,0,0
"282",201708,"전곡",0,0,0,0,0,0,0,0,0
"283",201708,"연천",0,14,0,0,0,0,0,0,14
"284",201708,"신망리",0,0,0,0,0,0,0,0,0
"285",201708,"대광리",0,0,0,0,0,0,0,0,0
"286",201708,"신탄리",0,147,0,0,0,0,0,0,147
"287",201708,"퇴계원",0,0,0,0,0,0,0,899,899
"288",201708,"평내호평",0,0,0,0,0,0,0,31665,31665
"289",201708,"마석",0,0,480,0,0,0,0,1787,2267
"290",201708,"가평",0,0,0,0,0,0,0,59109,59109
"291",201708,"광명",232554,0,0,0,77003,18590,0,0,328147
"292",201709,"안양",0,0,10436,3245,0,0,0,0,13681
"293",201709,"수원",40541,20275,299653,13462,0,5045,77485,0,456461
"294",201709,"오산",0,0,5008,2871,0,0,0,0,7879
"295",201709,"서정리",0,0,862,1254,0,0,0,0,2116
"296",201709,"평택",0,3495,146461,6854,0,0,17958,0,174768
"297",201709,"도농",0,0,0,0,0,0,0,0,0
