"","연월","station","합계_승차수.명.","합계_하차수.명.","KTX_승차수.명.","KTX_하차수.명.","새마을_승차수.명.","새마을_하차수.명.","무궁화_승차수.명.","무궁화_하차수.명..","통근열차_승차수.명.","통근열차_하차수.명.","누리로_승차수.명.","누리로_하차수.명.","KTX산천_승차수.명.","KTX산천_하차수.명.","ITX새마을_승차수.명.","ITX새마을_하차수.명.","ITX청춘열차_승차수.명.","ITX청춘열차_하차수.명.","KTX호남_승차수.명.","KTX호남_하차수.명."
"600",201805,"일산",410,410,0,0,0,0,410,410,0,0,0,0,0,0,0,0,0,0,0,0
"601",201805,"문산",162,142,0,0,162,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"602",201805,"운천",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"603",201805,"임진강",108,115,0,0,108,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604",201805,"도라산",2250,2525,0,0,2250,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605",201805,"의정부",335,333,0,0,335,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606",201805,"동두천",20109,22296,0,0,12,4,0,0,20097,22292,0,0,0,0,0,0,0,0,0,0
"607",201805,"소요산",1155,412,0,0,5,9,0,0,1150,403,0,0,0,0,0,0,0,0,0,0
"608",201805,"초성리",114,51,0,0,0,0,0,0,114,51,0,0,0,0,0,0,0,0,0,0
"609",201805,"한탄강",14,20,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0
"610",201805,"전곡",3268,652,0,0,192,192,360,0,2716,460,0,0,0,0,0,0,0,0,0,0
"611",201805,"연천",4838,1132,0,0,206,15,500,500,4132,617,0,0,0,0,0,0,0,0,0,0
"612",201805,"신망리",89,152,0,0,0,0,0,0,89,152,0,0,0,0,0,0,0,0,0,0
"613",201805,"대광리",129,141,0,0,0,0,0,0,129,141,0,0,0,0,0,0,0,0,0,0
"614",201805,"신탄리",4766,526,0,0,13,203,0,0,4753,323,0,0,0,0,0,0,0,0,0,0
"615",201805,"퇴계원",2032,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,1074,0,0
"616",201805,"평내호평",39500,33786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39500,33786,0,0
"617",201805,"마석",3402,2396,0,0,572,572,0,0,0,0,0,0,0,0,0,0,2830,1824,0,0
"618",201805,"가평",41814,45383,0,0,324,0,737,1125,0,0,0,0,0,0,0,0,40753,44258,0,0
"619",201805,"광명",400914,398464,283232,285672,0,0,0,0,0,0,0,0,84706,84852,0,0,0,0,13119,16301
"620",201806,"안양",17472,13751,0,0,0,0,13538,10502,0,0,3934,3249,0,0,0,0,0,0,0,0
"621",201806,"수원",462228,468333,44633,46627,24127,21599,298039,303209,0,0,18017,14443,0,0,77412,82455,0,0,0,0
"622",201806,"오산",7919,8052,0,0,0,0,4289,4639,0,0,3630,3413,0,0,0,0,0,0,0,0
"623",201806,"서정리",1990,2273,0,0,0,0,897,1084,0,0,1093,1189,0,0,0,0,0,0,0,0
"624",201806,"평택",182965,184320,0,0,7051,3828,148127,154736,0,0,9582,6996,0,0,18205,18760,0,0,0,0
"625",201806,"덕소",1650,1652,0,0,0,0,1650,1652,0,0,0,0,0,0,0,0,0,0,0,0
"626",201806,"양수",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627",201806,"양평",36054,34775,0,0,0,0,26404,26406,0,0,0,0,0,0,305,723,0,0,9345,7646
"628",201806,"용문",9434,9394,0,0,0,0,8697,8830,0,0,0,0,0,0,737,564,0,0,0,0
"629",201806,"지평",1533,1398,0,0,0,0,1533,1398,0,0,0,0,0,0,0,0,0,0,0,0
"630",201806,"석불",64,72,0,0,0,0,64,72,0,0,0,0,0,0,0,0,0,0,0,0
"631",201806,"일신",442,401,0,0,0,0,442,401,0,0,0,0,0,0,0,0,0,0,0,0
"632",201806,"매곡",592,481,0,0,0,0,592,481,0,0,0,0,0,0,0,0,0,0,0,0
