"연월","station","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"201903","양평","39561","36836","0","0","0","0","28242","26956","0","0","0","0","0","0","339","1065","0","0","10980","8815"
"201903","용문","9671","9077","0","0","0","0","8893","8586","0","0","0","0","0","0","778","491","0","0","0","0"
"201903","지평","1136","967","0","0","0","0","1136","967","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","석불","47","42","0","0","0","0","47","42","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","일신","378","339","0","0","0","0","378","339","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","매곡","378","328","0","0","0","0","378","328","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","양동","5373","5699","0","0","0","0","5373","5699","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","삼산","106","97","0","0","0","0","106","97","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","행신","63207","57814","44346","33317","0","0","0","0","0","0","0","0","17943","22530","0","0","0","0","918","1967"
"201903","문산","97","104","0","0","97","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","운천","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","임진강","591","600","0","0","87","96","504","504","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","도라산","1468","1474","0","0","1468","1474","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","의정부","349","327","0","0","349","327","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","덕정","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","동두천중앙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201903","동두천","17360","19506","0","0","41","38","222","222","17097","19246","0","0","0","0","0","0","0","0","0","0"
"201903","소요산","1003","239","0","0","11","17","0","0","992","222","0","0","0","0","0","0","0","0","0","0"
"201903","초성리","76","83","0","0","0","0","0","0","76","83","0","0","0","0","0","0","0","0","0","0"
"201903","한탄강","163","175","0","0","0","0","0","0","163","175","0","0","0","0","0","0","0","0","0","0"
"201903","전곡","2424","236","0","0","0","0","0","0","2424","236","0","0","0","0","0","0","0","0","0","0"
"201903","연천","3588","465","0","0","180","33","0","0","3408","432","0","0","0","0","0","0","0","0","0","0"
"201903","신망리","143","137","0","0","0","0","0","0","143","137","0","0","0","0","0","0","0","0","0","0"
"201903","대광리","358","179","0","0","0","0","0","0","358","179","0","0","0","0","0","0","0","0","0","0"
