"연월","역명/열차종별","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"202006","퇴계원","1779","1004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1779","1004","0","0"
"202006","사릉","2098","968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2098","968","0","0"
"202006","평내호평","26324","22955","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26324","22955","0","0"
"202006","마석","2873","1621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2873","1621","0","0"
"202006","청평","5062","5205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5062","5205","0","0"
"202006","가평","21773","22723","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21773","22723","0","0"
"202006","강촌","1726","1845","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1726","1845","0","0"
"202006","남춘천","51173","47845","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51173","47845","0","0"
"202006","춘천","34324","34501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34324","34501","0","0"
"202006","옥산","866","690","0","0","0","0","866","690","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","청리","212","151","0","0","0","0","212","151","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","상주","3010","3026","0","0","0","0","3010","3026","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","함창","329","287","0","0","0","0","329","287","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","점촌","2429","2430","0","0","0","0","2429","2430","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","용궁","189","192","0","0","0","0","189","192","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","개포","500","136","0","0","0","0","500","136","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","예천","1070","1028","0","0","0","0","1070","1028","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","극락강","765","866","0","0","0","0","301","438","464","428","0","0","0","0","0","0","0","0","0","0"
"202006","광주","12818","13446","0","0","0","0","4581","5485","4397","3934","0","0","0","0","3840","4027","0","0","0","0"
"202006","봉화","729","816","0","0","0","0","729","816","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","춘양","586","682","0","0","0","0","586","682","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","임기","20","12","0","0","0","0","20","12","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","현동","44","67","0","0","0","0","44","67","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","분천","464","333","0","0","0","0","464","333","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","양원","63","68","0","0","0","0","63","68","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","승부","164","321","0","0","0","0","164","321","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","석포","449","453","0","0","0","0","449","453","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","철암","434","460","0","0","0","0","434","460","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","동백산","426","355","0","0","0","0","376","313","0","0","50","42","0","0","0","0","0","0","0","0"
"202006","도계","2139","2336","0","0","0","0","1103","963","0","0","1036","1373","0","0","0","0","0","0","0","0"
"202006","신기","69","57","0","0","0","0","40","22","0","0","29","35","0","0","0","0","0","0","0","0"
"202006","동해","15337","16246","0","0","0","0","2613","3384","0","0","5610","5569","0","0","0","0","0","0","7114","7293"
"202006","묵호","5806","4996","0","0","0","0","0","0","0","0","1894","1691","0","0","0","0","0","0","3912","3305"
"202006","정동진","6316","6594","0","0","0","0","0","0","0","0","2613","2302","0","0","0","0","0","0","3703","4292"
"202006","강릉","82805","81537","0","0","0","0","0","0","0","0","4725","5592","0","0","0","0","0","0","78080","75945"
"202006","쌍룡","100","52","0","0","0","0","50","8","0","0","50","44","0","0","0","0","0","0","0","0"
"202006","영월","5501","5090","0","0","0","0","1769","1649","0","0","3732","3441","0","0","0","0","0","0","0","0"
"202006","예미","1125","990","0","0","0","0","350","284","0","0","775","706","0","0","0","0","0","0","0","0"
"202006","민둥산","1093","1054","0","0","0","0","433","341","0","0","660","713","0","0","0","0","0","0","0","0"
"202006","사북","1837","1769","0","0","0","0","627","579","0","0","1210","1190","0","0","0","0","0","0","0","0"
"202006","고한","1507","1474","0","0","0","0","455","472","0","0","1052","1002","0","0","0","0","0","0","0","0"
"202006","태백","6319","6419","0","0","0","0","2036","2007","0","0","4283","4412","0","0","0","0","0","0","0","0"
"202006","부전","34105","33905","0","0","0","0","33651","33410","0","0","0","0","0","0","454","495","0","0","0","0"
"202006","센텀","6290","5835","0","0","0","0","6290","5835","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","신해운대","9802","10681","0","0","0","0","8367","8958","0","0","0","0","0","0","1435","1723","0","0","0","0"
"202006","기장","8286","8275","0","0","0","0","8286","8275","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","좌천","2876","3192","0","0","0","0","2876","3192","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","남창","10039","9788","0","0","0","0","10039","9788","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","덕하","2424","2322","0","0","0","0","2424","2322","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","태화강","38402","38112","0","0","0","0","38402","38112","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","호계","17812","17573","0","0","0","0","17812","17573","0","0","0","0","0","0","0","0","0","0","0","0"
