,area,cfmDate,route,contractCnt
200,인천,2020-07-22,해외입국카자흐스탄,-
201,인천,2020-07-22,인천확진자375접촉,-
202,인천,2020-07-21,해외입국카자흐스탄,-
203,인천,2020-07-21,타지역확진자접촉,-
204,인천,2020-07-21,타지역확진자접촉,-
205,인천,2020-07-21,인천확진자373접촉,-
206,인천,2020-07-20,-,-
207,인천,2020-07-19,해외입국파키스탄,-
208,인천,2020-07-19,해외입국필리핀,-
209,인천,2020-07-18,해외입국과테말라,-
210,인천,2020-07-17,해외입국파키스탄,-
211,인천,2020-07-17,타지역확진자접촉,-
212,인천,2020-07-15,-,-
213,인천,2020-07-15,-,-
214,인천,2020-07-15,해외입국자우즈베키스탄,-
215,인천,2020-07-14,해외입국카자흐스탄,-
216,인천,2020-07-12,해외입국필리핀,-
217,인천,2020-07-12,해외입국필리핀,-
218,인천,2020-07-12,해외입국필리핀,-
219,인천,2020-07-10,인천확진자351접촉,-
220,인천,2020-07-09,해외입국카자흐스탄,-
221,인천,2020-07-08,타지역확진자접촉,-
222,인천,2020-07-08,해외입국카자흐스탄,-
223,인천,2020-07-08,타지역확진자접촉,-
224,인천,2020-07-06,인천확진자347접촉,-
225,인천,2020-07-07,타시도확진자접촉,-
226,인천,2020-07-06,인-351배우자,-
227,인천,2020-07-05,인-347母,-
228,인천,2020-07-05,타시도확진자접촉,-
229,인천,2020-07-05,해외입국자카자흐스탄,-
230,인천,2020-07-05,타시도확진환자접촉,-
231,인천,2020-07-05,타시도확진환자접촉,-
232,인천,2020-07-05,타시도확진환자접촉,-
233,인천,2020-07-03,해외입국카자흐스탄,-
234,인천,2020-07-03,해외입국카타르,-
235,인천,2020-07-02,부천시확진환자로인한능동감시대상자,-
236,인천,2020-06-30,해외입국카자흐스탄,-
237,인천,2020-06-30,해외입국카자흐스탄,-
238,인천,2020-06-29,해외입국아프가니스탄,-
239,인천,2020-06-29,해외입국자카자흐스탄,-
240,인천,2020-06-28,해외입국미국,-
241,인천,2020-06-27,인-331333334접촉,-
242,인천,2020-06-26,해외입국아프가니스탄,-
243,인천,2020-06-25,해외에서입국,-
244,인천,2020-06-25,해외입국카자흐스탄,-
245,인천,2020-06-24,인천확진자331접촉,-
246,인천,2020-06-23,인천확진자331접촉,-
247,인천,2020-06-23,인천확진자301접촉,-
248,인천,2020-06-23,자동차동호회,-
249,인천,2020-06-21,해외입국방글라데시,-
250,인천,2020-06-19,인-328가족,-
251,인천,2020-06-19,서울확진자접촉,-
252,인천,2020-06-19,인천확진자302접촉,-
253,인천,2020-06-19,서울강서구확진자접촉,-
254,인천,2020-06-18,해외방글라데시,-
255,인천,2020-06-18,인-200접촉,-
256,인천,2020-06-17,해외입국카자흐스탄,-
257,인천,2020-06-16,인천확진자321가족,-
258,인천,2020-06-16,부천확진자접촉,-
259,인천,2020-06-15,-,-
260,인천,2020-06-14,인-315317318가족,-
261,인천,2020-06-14,인-315317가족,-
262,인천,2020-06-14,인-315가족부천쿠팡직원자가격리:6.8해제6.14재검사양성,-
263,인천,2020-06-14,인-247접촉,-
264,인천,2020-06-14,부천소재물류센터근무자가족,-
265,인천,2020-06-14,교회관련인-227접촉,-
266,인천,2020-06-13,부천소재물류센터관련,-
267,인천,2020-06-13,교회관련인-223접촉,-
268,인천,2020-06-13,교회관련인-227가족,-
269,인천,2020-06-13,교회관련인-227가족,-
270,인천,2020-06-13,타시도확진자접촉,-
271,인천,2020-06-13,타시도확진자접촉자자가격리의가족,-
272,인천,2020-06-13,-,-
273,인천,2020-06-13,인-248249접촉,-
274,인천,2020-06-13,서울시확진자접촉강남**어학원,-
275,인천,2020-06-13,인-204가족,-
276,인천,2020-06-13,인-210접촉,-
277,인천,2020-06-12,리치웨이방문,-
278,인천,2020-06-11,해외입국카자흐스탄,-
279,인천,2020-06-10,인천확진자299의가족,-
280,인천,2020-06-10,인천확진자210가족,-
281,인천,2020-06-10,인천확진자191가족,-
282,인천,2020-06-10,해외입국인도,-
283,인천,2020-06-10,인천확진자170접촉,-
284,인천,2020-06-10,고양시확진자접촉,-
285,인천,2020-06-09,서울강서구확진자접촉같은회사,-
286,인천,2020-06-09,인-216292가족,-
287,인천,2020-06-08,인천확진자216의가족,-
288,인천,2020-06-09,인천확진자287가족,-
289,인천,2020-06-09,인천확진자287가족,-
290,인천,2020-06-09,인천확진자287가족,-
291,인천,2020-06-09,인천확진자200접촉,-
292,인천,2020-06-09,고양시확진자의가족,-
293,인천,2020-06-08,부천쿠팡자가격리중확진,-
294,인천,2020-06-08,부천쿠팡자가격리중확진,-
295,인천,2020-06-08,부천쿠팡자가격리중확진,-
296,인천,2020-06-07,인천확진자281가족,-
297,인천,2020-06-07,인천236가족,-
298,인천,2020-06-07,부천쿠팡직원,-
299,인천,2020-06-06,타지역확진자리치웨이접촉,-
300,인천,2020-06-06,인천확진자264가족,-
301,인천,2020-06-05,인천확진자162가족,-
302,인천,2020-06-05,인천확진자162가족,-
303,인천,2020-06-05,인천확진자185접촉자가격리중확진,-
304,인천,2020-06-05,타지역확진자접촉,-
305,인천,2020-06-05,인천확진자264가족,-
306,인천,2020-06-05,인천확진자274가족,-
307,인천,2020-06-05,-,-
308,인천,2020-06-05,-,-
309,인천,2020-06-05,인천확진자248접촉,-
310,인천,2020-06-05,해외입국자,-
311,인천,2020-06-05,인천확진자209의가족,-
312,인천,2020-06-05,인천확진자264가족,-
313,인천,2020-06-05,인천확진자264가족,-
314,인천,2020-06-05,인천확진자247가족,-
315,인천,2020-06-05,타지역확진자접촉,-
316,인천,2020-06-04,인천확진자260가족,-
317,인천,2020-06-04,타지역확진자접촉,-
318,인천,2020-06-04,인천확진자259접촉,-
319,인천,2020-06-04,부천쿠팡근무자가격리자의가족,-
320,인천,2020-06-04,인천247248249255접촉예배등,-
321,인천,2020-06-04,인천245접촉253이웃,-
322,인천,2020-06-04,인천256동거인,-
323,인천,2020-06-04,인천245접촉예*교회,-
324,인천,2020-06-03,인천247접촉샤*교회,-
325,인천,2020-06-03,인천223남편,-
326,인천,2020-06-03,인천223209접촉신*교회신도,-
327,인천,2020-06-03,인천245접촉예배,-
328,인천,2020-06-03,인천213238239240접촉교회모임,-
329,인천,2020-06-03,인천210231접촉예배,-
330,인천,2020-06-02,인천확진자240접촉,-
331,인천,2020-06-02,인천확진자240접촉,-
332,인천,2020-06-02,인천확진자240접촉샤*교회목사,-
333,인천,2020-06-02,인천확진자131접촉자,-
334,인천,2020-06-02,건강식품판매업신포동,-
335,인천,2020-06-02,5.27수부천확진환자접촉,-
336,인천,2020-06-02,확진환자방문pc방근무자접촉,-
337,인천,2020-06-02,부평구청공무원6.1.월성진교회조사차방문으로확진환자와접촉,-
338,인천,2020-06-02,인천2255.25.~27.개척교회목회자성경모임참석의가족,-
339,인천,2020-06-01,인천확진자213접촉,-
340,인천,2020-06-02,인천확진자213접촉,-
341,인천,2020-06-01,인천확진자213접촉,-
342,인천,2020-06-01,인천확진자228접촉,-
343,인천,2020-06-01,인천확진자209접촉,-
344,인천,2020-06-01,인천확진자181접촉,-
345,인천,2020-06-01,인천확진자222접촉,-
346,인천,2020-06-01,인천확진자229동선겹침,-
347,인천,2020-06-01,인천확진자222접촉,-
348,인천,2020-06-01,인천확진자222접촉,-
349,인천,2020-06-01,인천확진자213접촉,-
350,인천,2020-06-01,일산거주확진자접촉,-
